
,NJU2K_TEST,NLPR,NLPR_TEST,DES,SSD,STERE,LFSD,SIP,DUT,Details
0,0.903,,0.835,0.913,0.837,,0.846,0.869,,ResNet/BCE/352x352
1,0.897,,0.832,0.915,0.837,0.877,0.845,0.860,,Effnet/BCE/224x224
2,0.920,,0.854,0.930,0.855,0.898,0.862,0.877,,ResNet/dice/352x352
3,0.906,,0.853,0.918,0.863,0.894,0.846,0.866,,Effnet/dice/224x224
4,0.828,,0.732,0.816,0.765,0.808,0.774,0.790,,Effnet/focal/224x224
5,0.916,,0.847,0.933,0.860,0.899,0.834,0.859,0.707,Effnet/dice/352x352
6,0.918,,0.861,0.929,0.863,0.903,0.851,0.884,0.728,Effnet/jaccard/352x352
7,0.901,,0.838,0.918,0.844,0.891,0.843,0.870,0.650,Effnet/bce/352x352
8,0.909,,0.838,0.916,0.841,0.888,0.843,0.867,0.592,ResNet/BCE/352x352(New)
9,0.915,0.858,0.856,0.939,0.851,0.905,0.859,0.880,0.597,ResNet/jaccard/352x352
